value_sequence,finalLabel
0.039978,0
0.0,0
1e-05 0.202637 1.048279 2.070618 2.626953 2.845154 2.755432 1.82373 0.328064 -1.063232 -2.510529 -2.94342 -2.935944 -2.688599 -1.915283 -1.20575 -0.433655 -0.169067 -0.069427 -0.031128 -0.011902 -0.002747 -0.000458,1
-0.004578 -0.00473 -0.011902 -0.009766 -0.011749 -0.014496 -0.00351 0.000916 0.008545 0.000458 0.005188 -0.002899 -0.011902 -0.021515 -0.02243 -0.027008 -0.028839 -0.006866,0
0.044708 0.205994 0.594788 1.289825 2.064056 2.499695 2.570801 2.064514 0.74234 -0.840302 -2.434845 -3.016815 -3.040314 -2.68158 -1.764374 -0.659943 -1e-05,1
0.0,0
1e-05 0.268402 1.174774 1.717224 1.778717 1.757507 1.585846 0.917511 0.0737 -0.720673 -1.577148 -1.881561 -1.841431 -1.77063 -1.497498 -1.022339 -0.491333 -0.196838 -0.05188 -0.006104,1
0.012817 0.026093 0.032196 0.029297 0.037384 0.0354 0.037689 0.0354 0.027771 0.025177 0.020447 0.021973 0.030975 0.031738 0.039368 0.046692 0.058289 0.059357 0.053406 0.045319 0.023804 -0.004578 -0.028992 -0.036316 -0.041656 -0.04303 -0.032959 -0.023346 -0.012512 -0.007629 -0.007629 -0.005798 0.001221 0.003357 0.003204 0.006561 0.002747 0.006561 -0.002899 0.003357 0.005646 0.006409 0.002289 0.006409 0.003052 -0.000916 0.003815 0.002136 0.003662 0.003052 -0.008392 -0.006714 -0.006409 -0.004883 -0.002289 -0.009003 -0.007324 -0.006866 -0.006866 -0.006866 -0.001221 -0.010681 -0.001526 -0.005493,0
0.00473 0.052185 0.186768 0.48172 0.968475 1.2883 1.382446 1.494904 1.434326 0.834961 -0.08316 -0.935364 -1.455994 -1.497803 -1.47934 -1.445312 -1.195221 -0.614777 -0.313873 -0.135803 -0.054932 -0.025635 -0.013885 -0.009766 -0.007782 -0.000763 -0.000458,1
-0.002899 -0.00351 -0.00061 0.001221 0.000763 0.002594 0.00473 0.010376,0
